path	declared_status	frontmatter_updated	last_dated_content_in_body	last_git_commit_touching
studies/000-research-organization/study.md	in-progress	2026-05-11	2026-05-11	2026-05-11
studies/001-tool-calibration/study.md	in-progress	2026-05-11	2026-05-12	2026-05-22
studies/002-principle-bootstrapped-difficulty/study.md	planned	2026-05-22	2026-05-22	2026-05-22
studies/003-automated-w2s-replication/study.md	planned	2026-05-23	2026-06-15	2026-05-31
studies/004-researcher-diagnostics/study.md	in-progress	2026-06-03	2026-06-03	2026-06-04
studies/005-harness-rescue/study.md	in-progress	2026-06-05	2026-06-05	2026-06-30
studies/000-research-organization/investigations/001-initial-scaffold/investigation.md	in-progress	2026-05-11	2026-05-11	2026-05-11
studies/000-research-organization/investigations/002-plotly-migration/investigation.md	complete	2026-05-11	2026-05-11	2026-05-11
studies/001-tool-calibration/investigations/001-foundations/investigation.md	complete	2026-05-11	2026-05-11	2026-05-11
studies/001-tool-calibration/investigations/002-difficulty-axes/investigation.md	in-progress	2026-05-11	2026-05-12	2026-05-12
studies/001-tool-calibration/investigations/003-bulk-generation/investigation.md	in-progress	2026-05-12	2026-05-12	2026-05-12
studies/001-tool-calibration/investigations/004-calibration-pilot/investigation.md	in-progress	2026-05-12	2026-05-12	2026-05-12
studies/001-tool-calibration/investigations/005-tool-spec-optimization/investigation.md	in-progress	2026-05-12	2026-05-12	2026-05-12
studies/001-tool-calibration/investigations/006-temperature-prompt/investigation.md	complete	2026-05-12	2026-05-12	2026-05-12
studies/001-tool-calibration/investigations/007-axes-performativity/investigation.md	in-progress	2026-05-23	2026-05-23	2026-05-23
studies/002-principle-bootstrapped-difficulty/investigations/001-self-prediction-baseline/investigation.md	in-progress	2026-05-23	2026-05-23	2026-05-23
studies/003-automated-w2s-replication/investigations/001-hardware-derisk/investigation.md	complete	2026-05-23	2026-05-23	2026-05-23
studies/003-automated-w2s-replication/investigations/002-vanilla-w2s-replication/investigation.md	in-progress	2026-05-23	2026-05-24	2026-05-24
studies/003-automated-w2s-replication/investigations/003-claude-sdk-shim-and-researcher-swap/investigation.md	in-progress	2026-05-24	2026-05-24	2026-05-24
studies/003-automated-w2s-replication/investigations/004-qwen-researcher-floor/investigation.md	in-progress	2026-05-26	2026-05-26	2026-05-26
studies/003-automated-w2s-replication/investigations/005-split-host-researcher/investigation.md	planned	2026-05-31	2026-05-31	2026-05-31
studies/003-automated-w2s-replication/investigations/006-overnight-agent-loop/investigation.md	in-progress	2026-05-31	2026-06-01	2026-06-01
studies/004-researcher-diagnostics/investigations/001-mock-substrate-harness/investigation.md	in-progress	2026-06-03	2026-06-04	2026-06-04
studies/004-researcher-diagnostics/investigations/002-judge-comparison/investigation.md	in-progress	2026-06-03	2026-06-03	2026-06-04
studies/005-harness-rescue/investigations/001-steplaw-substrate/investigation.md	in-progress	2026-06-05	2026-06-07	2026-06-07
studies/005-harness-rescue/investigations/002-rich-harness/investigation.md	planned	2026-06-07	2026-06-08	2026-06-08
studies/005-harness-rescue/investigations/003-process-judges/investigation.md	planned	2026-06-14	2026-06-15	2026-06-14
studies/005-harness-rescue/investigations/004-alternative-models/investigation.md	in-progress	2026-06-25	2026-06-25	2026-06-30
