ts,used_mib,free_mib,phase
1779833356.490713224,280, 11814,IDLE
1779833357.527494951,280, 11814,IDLE
1779833358.571059595,280, 11814,IDLE
1779833359.612015241,280, 11814,IDLE
1779833360.655684465,280, 11814,IDLE
1779833361.697741982,280, 11814,IDLE
1779833362.738691473,280, 11814,IDLE
1779833363.817249724,280, 11814,IDLE_POST_OLLAMA_UNLOAD
1779833364.864321159,280, 11814,IDLE_POST_OLLAMA_UNLOAD
1779833365.905653633,280, 11814,IDLE_POST_OLLAMA_UNLOAD
1779833366.941969210,280, 11814,TRAIN_LAUNCH
1779833367.988493238,280, 11814,TRAIN_LAUNCH
1779833369.019531868,280, 11814,TRAIN_LAUNCH
1779833370.051475387,280, 11814,TRAIN_LAUNCH
1779833371.086070871,280, 11814,TRAIN_LAUNCH
1779833372.137928108,501, 11593,TRAIN_LAUNCH
1779833373.171706875,501, 11593,TRAIN_LAUNCH
1779833374.200939672,501, 11593,TRAIN_LAUNCH
1779833375.239676750,501, 11593,TRAIN_LAUNCH
1779833376.269945010,501, 11593,TRAIN_LAUNCH
1779833377.301221382,501, 11593,TRAIN_LAUNCH
1779833378.406760047,501, 11593,TRAIN_LAUNCH
1779833379.459125592,533, 11561,TRAIN_LAUNCH
1779833380.504348939,533, 11561,TRAIN_LAUNCH
1779833381.538596135,533, 11561,TRAIN_LAUNCH
1779833382.580752257,4411, 7683,TRAIN_LAUNCH
1779833383.615439126,4433, 7661,TRAIN_LAUNCH
1779833384.647960340,4459, 7635,TRAIN_LAUNCH
1779833385.682788145,4459, 7635,TRAIN_LAUNCH
1779833386.717881242,3759, 8335,TRAIN_LAUNCH
1779833387.763589362,3769, 8325,TRAIN_LAUNCH
1779833388.797499469,4007, 8087,TRAIN_LAUNCH
1779833389.827923566,4007, 8087,TRAIN_LAUNCH
1779833390.856781855,4007, 8087,TRAIN_LAUNCH
1779833391.889731145,4007, 8087,TRAIN_LAUNCH
1779833392.917271893,4007, 8087,TRAIN_LAUNCH
1779833393.949168126,4543, 7551,TRAIN_LAUNCH
1779833394.987779200,5603, 6491,TRAIN_LAUNCH
1779833396.019156233,8843, 3251,TRAIN_LAUNCH
1779833397.067131640,8915, 3179,TRAIN_LAUNCH
1779833398.100640505,9039, 3055,TRAIN_LAUNCH
1779833399.130658687,9039, 3055,TRAIN_LAUNCH
1779833400.172739392,9039, 3055,TRAIN_LAUNCH
1779833401.201647622,9051, 3043,TRAIN_LAUNCH
1779833402.232315578,9051, 3043,TRAIN_LAUNCH
1779833403.262579953,9051, 3043,TRAIN_LAUNCH
1779833404.295084028,9051, 3043,TRAIN_LAUNCH
1779833405.327656158,9051, 3043,TRAIN_LAUNCH
1779833406.362007113,9051, 3043,TRAIN_LAUNCH
1779833407.395214547,9051, 3043,TRAIN_LAUNCH
1779833408.428395539,9051, 3043,TRAIN_LAUNCH
1779833409.464047150,9051, 3043,TRAIN_LAUNCH
1779833410.494822528,9051, 3043,TRAIN_LAUNCH
1779833411.526826924,9051, 3043,TRAIN_LAUNCH
1779833412.562346389,9051, 3043,TRAIN_LAUNCH
1779833413.595762982,9051, 3043,TRAIN_LAUNCH
1779833414.626836035,9051, 3043,TRAIN_LAUNCH
1779833415.656966325,9051, 3043,TRAIN_LAUNCH
1779833416.686050758,9051, 3043,TRAIN_LAUNCH
1779833417.713690329,9051, 3043,TRAIN_LAUNCH
1779833418.743199663,9051, 3043,TRAIN_LAUNCH
1779833419.779040226,9051, 3043,TRAIN_LAUNCH
1779833420.809647417,9051, 3043,TRAIN_LAUNCH
1779833421.841390563,9051, 3043,TRAIN_LAUNCH
1779833422.869862497,9051, 3043,TRAIN_LAUNCH
1779833423.899887458,9051, 3043,TRAIN_LAUNCH
1779833424.933788847,9051, 3043,TRAIN_LAUNCH
1779833425.965239109,9051, 3043,TRAIN_LAUNCH
1779833426.999359576,9051, 3043,TRAIN_LAUNCH
1779833428.033463710,9051, 3043,TRAIN_LAUNCH
1779833429.061935985,9051, 3043,TRAIN_LAUNCH
1779833430.104402434,9051, 3043,TRAIN_LAUNCH
1779833431.136795442,9051, 3043,TRAIN_LAUNCH
1779833432.171755478,9051, 3043,TRAIN_LAUNCH
1779833433.202709546,9051, 3043,TRAIN_LAUNCH
1779833434.231627441,9051, 3043,TRAIN_LAUNCH
1779833435.262111887,9051, 3043,TRAIN_LAUNCH
1779833436.294266546,4431, 7663,TRAIN_LAUNCH
1779833437.344646917,280, 11814,TRAIN_LAUNCH
1779833438.376521413,280, 11814,TRAIN_LAUNCH
1779833439.418454415,280, 11814,TRAIN_LAUNCH
1779833440.457434531,280, 11814,TRAIN_LAUNCH
1779833441.498853361,280, 11814,TRAIN_LAUNCH
1779833442.538623401,280, 11814,TRAIN_LAUNCH
1779833443.571344440,280, 11814,TRAIN_LAUNCH
1779833444.612973743,280, 11814,TRAIN_LAUNCH
1779833445.650109858,280, 11814,TRAIN_LAUNCH
1779833446.685067405,280, 11814,TRAIN_LAUNCH
1779833447.715252386,539, 11555,TRAIN_LAUNCH
1779833448.761346594,8291, 3803,TRAIN_LAUNCH
1779833449.798614691,8291, 3803,TRAIN_LAUNCH
1779833450.834180044,8291, 3803,TRAIN_LAUNCH
1779833451.868099613,8291, 3803,TRAIN_LAUNCH
1779833452.908764446,8417, 3677,TRAIN_LAUNCH
1779833453.946566428,8613, 3481,TRAIN_LAUNCH
1779833454.983689034,9255, 2839,TRAIN_LAUNCH
1779833456.041530783,10375, 1719,TRAIN_LAUNCH
1779833457.073094619,10377, 1717,TRAIN_LAUNCH
1779833458.103299296,10377, 1717,TRAIN_LAUNCH
1779833459.139823413,10377, 1717,TRAIN_LAUNCH
1779833460.167875532,10377, 1717,TRAIN_LAUNCH
1779833461.198534641,10377, 1717,TRAIN_LAUNCH
1779833462.228689083,10377, 1717,TRAIN_LAUNCH
1779833463.314349603,10377, 1717,TRAIN_LAUNCH
1779833464.343724598,10377, 1717,TRAIN_LAUNCH
1779833465.377103692,10377, 1717,TRAIN_LAUNCH
1779833466.407377761,10377, 1717,TRAIN_LAUNCH
1779833467.439411271,501, 11593,TRAIN_LAUNCH
1779833468.481789637,280, 11814,POST_RUN
1779833469.529066325,280, 11814,POST_RUN
1779833470.568140057,280, 11814,POST_RUN
