ts,used_mib,free_mib,phase
1779834154.357807887,260, 11834,INITIAL
1779834155.440864908,260, 11834,INITIAL
1779834156.498608433,260, 11834,INITIAL
1779834157.542714883,260, 11834,INITIAL
1779834158.588847269,260, 11834,IDLE
1779834159.623521607,260, 11834,IDLE
1779834160.668686553,260, 11834,IDLE
1779834161.703194026,260, 11834,IDLE
1779834162.745877808,5363, 6731,IDLE
1779834163.795725692,5371, 6723,IDLE
1779834164.836359626,5371, 6723,IDLE
1779834165.869512745,5371, 6723,IDLE
1779834166.902682309,5371, 6723,NEMOTRON_RESIDENT
1779834167.939854081,5371, 6723,NEMOTRON_RESIDENT
1779834168.972026750,5371, 6723,NEMOTRON_RESIDENT
1779834170.008160456,5371, 6723,NEMOTRON_RESIDENT
1779834171.043741380,5371, 6723,NEMOTRON_RESIDENT
1779834172.077345831,5371, 6723,TRAIN_LAUNCH_NEMOTRON
1779834173.112141681,5371, 6723,TRAIN_LAUNCH_NEMOTRON
1779834174.177684361,5371, 6723,TRAIN_LAUNCH_NEMOTRON
1779834175.214806557,5379, 6715,TRAIN_LAUNCH_NEMOTRON
1779834176.261853600,5592, 6502,TRAIN_LAUNCH_NEMOTRON
1779834177.292236549,5592, 6502,TRAIN_LAUNCH_NEMOTRON
1779834178.331718762,5592, 6502,TRAIN_LAUNCH_NEMOTRON
1779834179.362585538,5592, 6502,TRAIN_LAUNCH_NEMOTRON
1779834180.394412516,5592, 6502,TRAIN_LAUNCH_NEMOTRON
1779834181.429317253,5592, 6502,TRAIN_LAUNCH_NEMOTRON
1779834182.473580990,5624, 6470,TRAIN_LAUNCH_NEMOTRON
1779834183.509931796,5624, 6470,TRAIN_LAUNCH_NEMOTRON
1779834184.583362009,6682, 5412,TRAIN_LAUNCH_NEMOTRON
1779834185.613344014,9534, 2560,TRAIN_LAUNCH_NEMOTRON
1779834186.662980347,9550, 2544,TRAIN_LAUNCH_NEMOTRON
1779834187.701741949,8850, 3244,TRAIN_LAUNCH_NEMOTRON
1779834188.740823240,8850, 3244,TRAIN_LAUNCH_NEMOTRON
1779834189.774839161,9098, 2996,TRAIN_LAUNCH_NEMOTRON
1779834190.820653610,9098, 2996,TRAIN_LAUNCH_NEMOTRON
1779834191.852248393,9098, 2996,TRAIN_LAUNCH_NEMOTRON
1779834192.883683708,9098, 2996,TRAIN_LAUNCH_NEMOTRON
1779834193.920432381,9098, 2996,TRAIN_LAUNCH_NEMOTRON
1779834194.953651705,9674, 2420,TRAIN_LAUNCH_NEMOTRON
1779834195.988767267,10694, 1400,TRAIN_LAUNCH_NEMOTRON
1779834197.018739722,11042, 1052,TRAIN_LAUNCH_NEMOTRON
1779834198.051206256,11110, 984,TRAIN_LAUNCH_NEMOTRON
1779834199.090477774,11230, 864,TRAIN_LAUNCH_NEMOTRON
1779834200.127620884,11230, 864,TRAIN_LAUNCH_NEMOTRON
1779834201.169033031,11230, 864,TRAIN_LAUNCH_NEMOTRON
1779834202.203820488,11242, 852,TRAIN_LAUNCH_NEMOTRON
1779834203.236501584,11242, 852,TRAIN_LAUNCH_NEMOTRON
1779834204.265395074,11242, 852,TRAIN_LAUNCH_NEMOTRON
1779834205.299086240,11242, 852,TRAIN_LAUNCH_NEMOTRON
1779834206.332552876,11242, 852,TRAIN_LAUNCH_NEMOTRON
1779834207.366897489,11242, 852,TRAIN_LAUNCH_NEMOTRON
1779834208.399523041,11242, 852,TRAIN_LAUNCH_NEMOTRON
1779834209.433628449,11242, 852,TRAIN_LAUNCH_NEMOTRON
1779834210.465180667,11242, 852,TRAIN_LAUNCH_NEMOTRON
1779834211.507109899,11242, 852,TRAIN_LAUNCH_NEMOTRON
1779834212.543912764,11242, 852,TRAIN_LAUNCH_NEMOTRON
1779834213.581084671,11242, 852,TRAIN_LAUNCH_NEMOTRON
