ts,used_mib,free_mib,phase
1779833772.077569009,280, 11814,IDLE
1779833773.121194592,280, 11814,IDLE
1779833774.160037245,280, 11814,IDLE
1779833775.195350505,280, 11814,IDLE
1779833776.228673171,280, 11814,IDLE
1779833777.265785893,539, 11555,IDLE
1779833778.308719607,5851, 6243,IDLE
1779833779.342453677,5851, 6243,IDLE
1779833780.374218277,5863, 6231,IDLE
1779833781.408000478,5863, 6231,IDLE
1779833782.448636591,5863, 6231,IDLE
1779833783.496303631,5863, 6231,IDLE
1779833784.535250662,5863, 6231,IDLE
1779833785.578214207,5863, 6231,IDLE
1779833786.614225886,5863, 6231,RESEARCHER_RESIDENT
1779833787.643825534,5863, 6231,RESEARCHER_RESIDENT
1779833788.684142149,5863, 6231,RESEARCHER_RESIDENT
1779833789.720650570,5863, 6231,RESEARCHER_RESIDENT
1779833790.762861939,5863, 6231,RESEARCHER_RESIDENT
1779833791.797569355,5863, 6231,TRAIN_LAUNCH_CORESIDENT
1779833792.835010312,5863, 6231,TRAIN_LAUNCH_CORESIDENT
1779833793.891717763,5863, 6231,TRAIN_LAUNCH_CORESIDENT
1779833794.921488775,6084, 6010,TRAIN_LAUNCH_CORESIDENT
1779833795.952752882,6084, 6010,TRAIN_LAUNCH_CORESIDENT
1779833796.991826277,6084, 6010,TRAIN_LAUNCH_CORESIDENT
1779833798.025522654,6084, 6010,TRAIN_LAUNCH_CORESIDENT
1779833799.059011013,6084, 6010,TRAIN_LAUNCH_CORESIDENT
1779833800.092483081,6084, 6010,TRAIN_LAUNCH_CORESIDENT
1779833801.127748076,6116, 5978,TRAIN_LAUNCH_CORESIDENT
1779833802.167665119,6116, 5978,TRAIN_LAUNCH_CORESIDENT
1779833803.207567840,6116, 5978,TRAIN_LAUNCH_CORESIDENT
1779833804.245613203,9994, 2100,TRAIN_LAUNCH_CORESIDENT
1779833805.295449900,10042, 2052,TRAIN_LAUNCH_CORESIDENT
1779833806.326018469,9342, 2752,TRAIN_LAUNCH_CORESIDENT
1779833807.415019805,9342, 2752,TRAIN_LAUNCH_CORESIDENT
1779833808.450231505,9520, 2574,TRAIN_LAUNCH_CORESIDENT
1779833809.485569046,9590, 2504,TRAIN_LAUNCH_CORESIDENT
1779833810.527116240,9590, 2504,TRAIN_LAUNCH_CORESIDENT
1779833811.568586059,9590, 2504,TRAIN_LAUNCH_CORESIDENT
1779833812.620606406,9590, 2504,TRAIN_LAUNCH_CORESIDENT
1779833813.653898718,9650, 2444,TRAIN_LAUNCH_CORESIDENT
1779833814.692353023,10986, 1108,TRAIN_LAUNCH_CORESIDENT
1779833815.725979820,11506, 588,TRAIN_LAUNCH_CORESIDENT
1779833816.756229948,11578, 516,TRAIN_LAUNCH_CORESIDENT
1779833817.794963445,11722, 372,TRAIN_LAUNCH_CORESIDENT
1779833818.844907025,11722, 372,TRAIN_LAUNCH_CORESIDENT
1779833819.881036965,11722, 372,TRAIN_LAUNCH_CORESIDENT
1779833820.915728022,11722, 372,TRAIN_LAUNCH_CORESIDENT
1779833821.949079611,11734, 360,TRAIN_LAUNCH_CORESIDENT
1779833822.981477212,11734, 360,TRAIN_LAUNCH_CORESIDENT
1779833824.012220738,11734, 360,TRAIN_LAUNCH_CORESIDENT
1779833825.043599208,11734, 360,TRAIN_LAUNCH_CORESIDENT
1779833826.076925738,11734, 360,TRAIN_LAUNCH_CORESIDENT
1779833827.105836642,11734, 360,TRAIN_LAUNCH_CORESIDENT
1779833828.137954706,11734, 360,TRAIN_LAUNCH_CORESIDENT
1779833829.169778008,11734, 360,TRAIN_LAUNCH_CORESIDENT
1779833830.202979345,11734, 360,TRAIN_LAUNCH_CORESIDENT
1779833831.233849691,11734, 360,TRAIN_LAUNCH_CORESIDENT
1779833832.265442657,11734, 360,TRAIN_LAUNCH_CORESIDENT
1779833833.299373825,11734, 360,TRAIN_LAUNCH_CORESIDENT
1779833834.336449197,11734, 360,TRAIN_LAUNCH_CORESIDENT
1779833835.368920807,11734, 360,TRAIN_LAUNCH_CORESIDENT
1779833836.400027645,11734, 360,TRAIN_LAUNCH_CORESIDENT
1779833837.427802312,11734, 360,TRAIN_LAUNCH_CORESIDENT
1779833838.463920667,11734, 360,TRAIN_LAUNCH_CORESIDENT
1779833839.496414466,11734, 360,TRAIN_LAUNCH_CORESIDENT
1779833840.526183436,11734, 360,TRAIN_LAUNCH_CORESIDENT
1779833841.567471309,11734, 360,TRAIN_LAUNCH_CORESIDENT
1779833842.609351186,11734, 360,TRAIN_LAUNCH_CORESIDENT
1779833843.639885235,11734, 360,TRAIN_LAUNCH_CORESIDENT
1779833844.675301737,11734, 360,TRAIN_LAUNCH_CORESIDENT
1779833845.706413108,11734, 360,TRAIN_LAUNCH_CORESIDENT
1779833846.739170883,11734, 360,TRAIN_LAUNCH_CORESIDENT
1779833847.768871186,11734, 360,TRAIN_LAUNCH_CORESIDENT
1779833848.799474372,11734, 360,TRAIN_LAUNCH_CORESIDENT
1779833849.829722141,11734, 360,TRAIN_LAUNCH_CORESIDENT
1779833850.875342649,11734, 360,TRAIN_LAUNCH_CORESIDENT
1779833851.907661696,11734, 360,TRAIN_LAUNCH_CORESIDENT
1779833852.938502966,11734, 360,TRAIN_LAUNCH_CORESIDENT
1779833853.967020984,11734, 360,TRAIN_LAUNCH_CORESIDENT
1779833855.000108941,11734, 360,TRAIN_LAUNCH_CORESIDENT
1779833856.036310386,11734, 360,TRAIN_LAUNCH_CORESIDENT
1779833857.067145283,10014, 2080,TRAIN_LAUNCH_CORESIDENT
1779833858.100197219,5863, 6231,TRAIN_LAUNCH_CORESIDENT
1779833859.142965453,5863, 6231,TRAIN_LAUNCH_CORESIDENT
1779833860.177150899,5863, 6231,TRAIN_LAUNCH_CORESIDENT
1779833861.212307267,5863, 6231,TRAIN_LAUNCH_CORESIDENT
1779833862.260389382,5863, 6231,TRAIN_LAUNCH_CORESIDENT
1779833863.292716831,5863, 6231,TRAIN_LAUNCH_CORESIDENT
1779833864.327339197,5863, 6231,TRAIN_LAUNCH_CORESIDENT
1779833865.378023024,5863, 6231,TRAIN_LAUNCH_CORESIDENT
1779833866.410609719,5863, 6231,TRAIN_LAUNCH_CORESIDENT
1779833867.443032131,5863, 6231,TRAIN_LAUNCH_CORESIDENT
1779833868.482882380,6122, 5972,TRAIN_LAUNCH_CORESIDENT
1779833869.591314235,12018, 76,TRAIN_LAUNCH_CORESIDENT
1779833870.654395210,11934, 160,TRAIN_LAUNCH_CORESIDENT
1779833871.682809553,11902, 192,TRAIN_LAUNCH_CORESIDENT
1779833872.712589818,11902, 192,TRAIN_LAUNCH_CORESIDENT
1779833873.749843129,12028, 66,TRAIN_LAUNCH_CORESIDENT
1779833874.785204758,12032, 62,TRAIN_LAUNCH_CORESIDENT
1779833875.834110837,11970, 124,TRAIN_LAUNCH_CORESIDENT
1779833876.930423534,11962, 132,TRAIN_LAUNCH_CORESIDENT
1779833877.966268891,10922, 1172,TRAIN_LAUNCH_CORESIDENT
1779833879.023431420,11888, 206,TRAIN_LAUNCH_CORESIDENT
1779833880.062394856,11890, 204,TRAIN_LAUNCH_CORESIDENT
1779833881.090992058,11890, 204,TRAIN_LAUNCH_CORESIDENT
1779833882.133735105,11890, 204,TRAIN_LAUNCH_CORESIDENT
1779833883.168969676,11890, 204,TRAIN_LAUNCH_CORESIDENT
1779833884.201098527,11890, 204,TRAIN_LAUNCH_CORESIDENT
1779833885.229431737,11890, 204,TRAIN_LAUNCH_CORESIDENT
1779833886.260018347,11890, 204,TRAIN_LAUNCH_CORESIDENT
1779833887.291229180,11890, 204,TRAIN_LAUNCH_CORESIDENT
1779833888.325164224,11890, 204,TRAIN_LAUNCH_CORESIDENT
1779833889.355202101,2014, 10080,TRAIN_LAUNCH_CORESIDENT
1779833890.389187500,2014, 10080,TRAIN_LAUNCH_CORESIDENT
1779833891.426066942,1793, 10301,POST_RUN
1779833892.474344750,1793, 10301,POST_RUN
1779833893.518773598,1793, 10301,POST_RUN
1779833894.561151890,1793, 10301,POST_RUN
1779833895.884119822,261, 11833,POST_RUN
1779833896.919773436,260, 11834,POST_RUN
1779833897.952777744,260, 11834,POST_RUN
