ts,used_mib,free_mib
1780256576.681485665,537, 11557
1780256577.718435095,537, 11557
1780256578.760790373,537, 11557
1780256579.806375757,537, 11557
1780256580.857578969,537, 11557
1780256581.905073495,537, 11557
1780256582.944855411,537, 11557
1780256583.988262666,537, 11557
1780256585.037697722,537, 11557
1780256586.085600585,537, 11557
1780256587.132375140,537, 11557
1780256588.183245117,537, 11557
1780256589.224492660,537, 11557
1780256590.274578728,537, 11557
1780256591.318242816,537, 11557
1780256592.365796721,537, 11557
1780256593.411150781,537, 11557
1780256594.459939490,537, 11557
1780256595.504647871,537, 11557
1780256596.541624910,537, 11557
1780256597.620974926,537, 11557
1780256598.655183874,537, 11557
1780256599.735780952,537, 11557
1780256600.785544616,537, 11557
1780256601.821706649,537, 11557
1780256602.877133333,537, 11557
1780256603.924086363,537, 11557
1780256604.972786976,537, 11557
1780256606.019244132,537, 11557
1780256607.067062203,537, 11557
1780256608.113552128,537, 11557
1780256609.156539407,537, 11557
1780256610.241426959,537, 11557
1780256611.283980662,537, 11557
1780256612.347922916,537, 11557
1780256613.397108551,537, 11557
1780256614.441713955,537, 11557
1780256615.488095422,537, 11557
1780256616.525701203,537, 11557
1780256617.576124336,537, 11557
1780256618.626362485,537, 11557
1780256619.667187724,537, 11557
1780256620.715822067,537, 11557
1780256621.753050210,537, 11557
1780256622.791240279,537, 11557
1780256623.846400635,537, 11557
1780256624.882195750,537, 11557
1780256625.956440708,546, 11548
1780256627.003148197,758, 11336
1780256628.039400778,758, 11336
1780256629.075778108,758, 11336
1780256630.115535043,758, 11336
1780256631.151062591,758, 11336
1780256632.185452421,758, 11336
1780256633.221558829,790, 11304
1780256634.269354694,790, 11304
1780256635.324777994,790, 11304
1780256636.388332118,4668, 7426
1780256637.427719550,4690, 7404
1780256638.465588710,4716, 7378
1780256639.502812481,4716, 7378
1780256640.539858990,4016, 8078
1780256641.580365834,4080, 8014
1780256642.620725044,4264, 7830
1780256643.657077798,4264, 7830
1780256644.691395476,4264, 7830
1780256645.734086956,4264, 7830
1780256646.769122008,4324, 7770
1780256647.814732314,5380, 6714
1780256648.853821283,9058, 3036
1780256649.893440200,9134, 2960
1780256650.999027854,9296, 2798
1780256652.042562483,9296, 2798
1780256653.080312391,9296, 2798
1780256654.115473521,9302, 2792
1780256655.147780388,9308, 2786
1780256656.182217297,9308, 2786
1780256657.218601531,9308, 2786
1780256658.259819623,9308, 2786
1780256659.299200880,9308, 2786
1780256660.334749938,9308, 2786
1780256661.370655165,9308, 2786
1780256662.411381601,9308, 2786
1780256663.449399303,9308, 2786
1780256664.485761764,9308, 2786
1780256665.518598792,9308, 2786
1780256666.556479122,9308, 2786
1780256667.599290997,9308, 2786
1780256668.637091385,9308, 2786
1780256669.676907654,9308, 2786
1780256670.715715947,9308, 2786
1780256671.757494428,9308, 2786
1780256672.792030063,9308, 2786
1780256673.822526503,9308, 2786
1780256674.859301635,9308, 2786
1780256675.896261559,9308, 2786
1780256676.938601836,9308, 2786
1780256677.977518517,9308, 2786
1780256679.013130656,9308, 2786
1780256680.047233432,9308, 2786
1780256681.082686548,9308, 2786
1780256682.118411446,9308, 2786
1780256683.152352491,9308, 2786
1780256684.188070055,9308, 2786
1780256685.223100325,9308, 2786
1780256686.256079122,9308, 2786
1780256687.314564326,9308, 2786
1780256688.354065869,9308, 2786
1780256689.390917552,9308, 2786
1780256690.425383318,537, 11557
1780256691.468000509,537, 11557
1780256692.507960688,537, 11557
1780256693.544837993,537, 11557
1780256694.596978976,537, 11557
1780256695.640954064,537, 11557
1780256696.759116239,537, 11557
1780256697.804897936,537, 11557
1780256698.848517798,537, 11557
1780256699.886929714,537, 11557
1780256700.928339376,806, 11288
1780256701.975206285,8548, 3546
1780256703.013516113,8548, 3546
1780256704.057448606,8548, 3546
1780256705.099777826,8548, 3546
1780256706.141815972,8548, 3546
1780256707.182595629,8674, 3420
1780256708.221932768,9512, 2582
1780256709.261831032,10232, 1862
1780256710.305157659,10632, 1462
1780256711.341592867,10634, 1460
1780256712.387419953,10634, 1460
1780256713.431139101,10634, 1460
1780256714.472140923,10634, 1460
1780256715.510228044,10634, 1460
1780256716.542684837,10634, 1460
1780256717.581557948,10634, 1460
1780256718.621614574,10634, 1460
1780256719.660184590,10634, 1460
1780256720.703712137,758, 11336
1780256721.775734451,758, 11336
1780256722.813483170,537, 11557
1780256723.879561773,537, 11557
1780256724.918059555,537, 11557
1780256725.961445042,537, 11557
1780256727.015249267,537, 11557
1780256728.066888234,537, 11557
1780256729.111058599,537, 11557
1780256730.159989175,537, 11557
1780256731.209733857,537, 11557
1780256732.249784030,537, 11557
1780256733.299601173,537, 11557
1780256734.344478526,537, 11557
1780256735.387040110,537, 11557
1780256736.436034597,537, 11557
1780256737.478251932,537, 11557
1780256738.528044761,537, 11557
1780256739.569966502,537, 11557
1780256740.611615611,537, 11557
1780256741.650137915,537, 11557
1780256742.711158690,537, 11557
1780256743.766525192,537, 11557
1780256744.802323200,537, 11557
1780256745.838564228,537, 11557
1780256746.878279631,537, 11557
1780256747.911532284,537, 11557
1780256748.953319017,537, 11557
1780256749.998842187,537, 11557
1780256751.047346217,537, 11557
1780256752.093281317,537, 11557
1780256753.142129850,537, 11557
1780256754.181412368,537, 11557
1780256755.246774587,537, 11557
1780256756.291785393,537, 11557
1780256757.340053625,537, 11557
1780256758.381634479,537, 11557
1780256759.421376561,537, 11557
1780256760.466911150,537, 11557
1780256761.509637348,537, 11557
1780256762.552901222,537, 11557
1780256763.604343857,537, 11557
1780256764.653741341,537, 11557
1780256765.710418385,537, 11557
1780256766.746313959,537, 11557
1780256767.779421911,537, 11557
1780256768.826022603,537, 11557
1780256769.875975865,537, 11557
1780256770.920016715,537, 11557
1780256771.963926325,537, 11557
1780256773.005091766,537, 11557
1780256774.074584047,537, 11557
1780256775.118221137,537, 11557
1780256776.168725192,537, 11557
