ts,used_mib,free_mib
1780334250.174720964,221, 11873
1780334251.226571684,221, 11873
1780334252.281559533,221, 11873
1780334253.336932225,221, 11873
1780334254.385750565,221, 11873
1780334255.443747474,221, 11873
1780334256.514909529,221, 11873
1780334257.608517675,221, 11873
1780334258.667404269,221, 11873
1780334259.723237517,221, 11873
1780334260.771764684,221, 11873
1780334261.819973544,221, 11873
1780334262.881413893,221, 11873
1780334263.932470800,221, 11873
1780334264.988327893,221, 11873
1780334266.044888343,221, 11873
1780334267.101032522,221, 11873
1780334268.162496901,221, 11873
1780334269.215124714,221, 11873
1780334270.269870842,221, 11873
1780334271.325320007,221, 11873
1780334272.388239922,221, 11873
1780334273.443733123,221, 11873
1780334274.497323495,221, 11873
1780334275.548007329,221, 11873
1780334276.586735575,221, 11873
1780334277.643316835,221, 11873
1780334278.693809157,221, 11873
1780334279.757515247,221, 11873
1780334280.815417868,221, 11873
1780334281.875808717,221, 11873
1780334282.921712989,221, 11873
1780334283.971402622,221, 11873
1780334285.020799658,221, 11873
1780334286.079282474,221, 11873
1780334287.135941239,221, 11873
1780334288.183775308,221, 11873
1780334289.231791753,221, 11873
1780334290.286735654,221, 11873
1780334291.335853644,221, 11873
1780334292.387197101,221, 11873
1780334293.441116749,221, 11873
1780334294.493386286,221, 11873
1780334295.543234186,221, 11873
1780334296.583822498,221, 11873
1780334297.639917199,221, 11873
1780334298.695842657,221, 11873
1780334299.749981984,221, 11873
1780334300.804134566,221, 11873
1780334301.843841444,221, 11873
1780334302.898582233,221, 11873
1780334303.957778115,221, 11873
1780334305.007821429,221, 11873
1780334306.063202139,221, 11873
1780334307.130101823,221, 11873
1780334308.185710449,221, 11873
1780334309.240735094,221, 11873
1780334310.295325161,221, 11873
1780334311.350163474,221, 11873
1780334312.409085015,221, 11873
1780334313.461562826,221, 11873
1780334314.513258121,221, 11873
1780334315.557552128,221, 11873
1780334316.600656606,221, 11873
1780334317.646340214,221, 11873
1780334318.757088180,221, 11873
1780334319.807505918,221, 11873
1780334320.853672659,221, 11873
1780334321.903520016,221, 11873
1780334322.956314005,221, 11873
1780334324.007053911,221, 11873
1780334325.057831800,221, 11873
1780334326.120089951,221, 11873
1780334327.177172683,221, 11873
1780334328.227884156,221, 11873
1780334329.284162612,221, 11873
1780334330.339528794,221, 11873
1780334331.394516788,221, 11873
1780334332.450820054,221, 11873
1780334333.501641664,221, 11873
1780334334.554301539,221, 11873
1780334335.600977126,221, 11873
1780334336.648942977,221, 11873
1780334337.691139837,221, 11873
1780334338.738829248,221, 11873
1780334339.786351397,221, 11873
1780334340.847484218,221, 11873
1780334341.909713708,221, 11873
1780334342.962606677,221, 11873
1780334344.017561868,221, 11873
1780334345.078685609,221, 11873
1780334346.136940467,221, 11873
1780334347.210335216,221, 11873
1780334348.266164926,221, 11873
1780334349.316294228,221, 11873
1780334350.366667842,221, 11873
1780334351.417384167,221, 11873
1780334352.472482283,221, 11873
1780334353.529070890,221, 11873
1780334354.576946140,221, 11873
1780334355.626924977,221, 11873
1780334356.681768078,221, 11873
1780334357.729204286,221, 11873
1780334358.774386395,221, 11873
1780334359.823658096,221, 11873
1780334360.870703181,221, 11873
1780334361.928533190,221, 11873
1780334362.982980786,221, 11873
1780334364.031477490,221, 11873
1780334365.078438382,221, 11873
1780334366.136924860,221, 11873
1780334367.189368508,221, 11873
1780334368.242744598,221, 11873
1780334369.290265048,221, 11873
1780334370.335278364,221, 11873
1780334371.377875678,221, 11873
1780334372.427732697,221, 11873
1780334373.478213121,221, 11873
1780334374.524375356,221, 11873
1780334375.574277707,221, 11873
1780334376.615875791,221, 11873
1780334377.686364784,221, 11873
1780334378.733716960,221, 11873
1780334379.888597234,221, 11873
1780334380.943140396,221, 11873
1780334381.994279064,221, 11873
1780334383.048293779,221, 11873
1780334384.104436190,221, 11873
1780334385.161282722,221, 11873
1780334386.216748538,221, 11873
1780334387.271399930,221, 11873
1780334388.321662138,221, 11873
1780334389.373316478,221, 11873
1780334390.423049429,221, 11873
1780334391.480444054,221, 11873
1780334392.548437484,221, 11873
1780334393.602649858,221, 11873
1780334394.653496939,221, 11873
1780334395.706619305,221, 11873
1780334396.764854565,221, 11873
1780334397.807999555,221, 11873
1780334398.853850740,221, 11873
1780334399.906318476,221, 11873
1780334400.970709920,221, 11873
1780334402.023105482,221, 11873
1780334403.065414039,221, 11873
1780334404.116868704,221, 11873
1780334405.160606093,221, 11873
1780334406.213883787,221, 11873
1780334407.264156118,221, 11873
1780334408.316175433,221, 11873
1780334409.365163420,221, 11873
1780334410.532592613,221, 11873
1780334411.582795281,221, 11873
1780334412.628359030,221, 11873
1780334413.671009460,221, 11873
1780334414.716740968,221, 11873
1780334415.771932247,221, 11873
1780334416.823859627,221, 11873
1780334417.877665230,221, 11873
1780334418.925437684,221, 11873
1780334419.982190356,221, 11873
1780334421.040429554,221, 11873
1780334422.098590181,221, 11873
1780334423.148980107,221, 11873
1780334424.200589313,221, 11873
1780334425.256633642,221, 11873
1780334426.310698509,221, 11873
1780334427.358177773,221, 11873
1780334428.411892351,221, 11873
1780334429.463128543,221, 11873
1780334430.507891434,221, 11873
1780334431.555429325,221, 11873
1780334432.622242609,221, 11873
1780334433.673673951,221, 11873
1780334434.722585323,221, 11873
1780334435.771482131,221, 11873
1780334436.818356414,221, 11873
1780334437.871584191,221, 11873
1780334438.923383961,221, 11873
1780334439.972845765,221, 11873
1780334441.093874350,221, 11873
1780334442.147351830,221, 11873
1780334443.197680627,221, 11873
1780334444.237886012,221, 11873
1780334445.291795626,221, 11873
1780334446.343376992,221, 11873
1780334447.390414932,221, 11873
1780334448.448903876,221, 11873
1780334449.502065426,221, 11873
1780334450.558488902,221, 11873
1780334451.596361483,221, 11873
1780334452.643659187,221, 11873
1780334453.692353995,221, 11873
1780334454.747302705,221, 11873
1780334455.799019629,221, 11873
1780334456.866863825,221, 11873
1780334457.922049728,221, 11873
1780334458.968848958,221, 11873
1780334460.026793290,221, 11873
1780334461.077892609,221, 11873
1780334462.124492404,221, 11873
1780334463.184959266,221, 11873
1780334464.238267606,221, 11873
1780334465.288171923,221, 11873
1780334466.341576091,221, 11873
1780334467.393090517,221, 11873
1780334468.442103858,221, 11873
1780334469.492172587,221, 11873
1780334470.542897824,221, 11873
1780334471.604437064,221, 11873
1780334472.645474613,221, 11873
1780334473.688012872,221, 11873
1780334474.731787699,221, 11873
1780334475.777493094,221, 11873
1780334476.828517753,221, 11873
1780334477.880604641,221, 11873
1780334478.929562772,221, 11873
1780334479.983404161,221, 11873
1780334481.035635195,221, 11873
1780334482.085907989,221, 11873
1780334483.139983003,221, 11873
1780334484.192136624,221, 11873
1780334485.245250633,221, 11873
1780334486.299100586,221, 11873
1780334487.346101756,221, 11873
1780334488.397253923,221, 11873
1780334489.453110518,221, 11873
1780334490.510577167,221, 11873
1780334491.550737687,221, 11873
1780334492.612739575,221, 11873
1780334493.661348828,221, 11873
1780334494.719856127,221, 11873
1780334495.768879521,221, 11873
1780334496.817631923,221, 11873
1780334497.859155847,221, 11873
1780334498.908592423,221, 11873
1780334499.958139699,221, 11873
1780334501.011070835,221, 11873
1780334502.068650455,221, 11873
1780334503.125297210,221, 11873
1780334504.175557165,221, 11873
1780334505.224731516,221, 11873
1780334506.302793383,221, 11873
1780334507.343760528,221, 11873
1780334508.388511411,221, 11873
1780334509.433046418,221, 11873
1780334510.473307532,221, 11873
1780334511.525919836,443, 11651
1780334512.578740962,443, 11651
1780334513.619788508,443, 11651
1780334514.660926289,443, 11651
1780334515.715248918,443, 11651
1780334516.765282995,443, 11651
1780334517.806609614,443, 11651
1780334518.855807512,221, 11873
1780334519.903864946,221, 11873
1780334520.953428357,221, 11873
1780334522.008320317,221, 11873
1780334523.057099473,221, 11873
1780334524.114043147,221, 11873
1780334525.165935940,221, 11873
1780334526.220889446,221, 11873
1780334527.281204814,221, 11873
1780334528.322501306,221, 11873
1780334529.383097195,221, 11873
