run,objective,opus,haiku,nemotron
run_01,clean_complete,clean_complete,clean_complete,clean_complete
run_02,clean_complete,clean_complete,clean_complete,clean_complete
run_03,clean_complete,clean_complete,clean_complete,clean_complete
run_04,clean_complete,clean_complete,clean_complete,clean_complete
run_05,clean_complete,clean_complete,clean_complete,clean_complete
run_06,clean_complete,clean_complete,clean_complete,clean_complete
run_07,clean_complete,clean_complete,clean_complete,clean_complete
run_08,clean_complete,clean_complete,clean_complete,clean_complete
run_09,clean_complete,clean_complete,clean_complete,clean_complete
run_10,clean_complete,clean_complete,clean_complete,clean_complete
run_11,clean_complete,clean_complete,clean_complete,clean_complete
run_12,clean_complete,clean_complete,clean_complete,clean_complete
run_13,clean_complete,clean_complete,clean_complete,clean_complete
run_14,clean_complete,clean_complete,clean_complete,clean_complete
run_15,clean_complete,clean_complete,clean_complete,clean_complete
run_16,clean_complete,clean_complete,clean_complete,clean_complete
run_17,clean_complete,clean_complete,clean_complete,clean_complete
run_18,clean_complete,clean_complete,clean_complete,clean_complete
run_19,clean_complete,clean_complete,clean_complete,clean_complete
run_20,clean_complete,clean_complete,clean_complete,clean_complete
