model,env,N,D,seed,think,reasoning_effort,outcome,experiments,invalid_requests,total_calls,repeats,best_loss,final_regret,optimum_loss,claim_matches_best,elapsed_ms,cost_usd
gemini-3.1-flash-lite,A,214663680,100000000000,1,,,finished,49,1,,42,2.34364,0.0016261582825820575,2.342013841717418,True,44027,0.027438
gemini-3.1-flash-lite,A,214663680,100000000000,2,,,stalled,2,0,,0,2.34691,0.00489615828258172,2.342013841717418,,2081,0.000418
gemini-3.1-flash-lite,A,214663680,100000000000,3,,,stalled,14,1,,4,2.34227,0.00025615828258196416,2.342013841717418,,12922,0.004936
gemini-3.1-flash-lite,A,214663680,100000000000,4,,,finished,13,0,,0,2.34201,-3.841717417962798e-06,2.342013841717418,True,10816,0.004425
gemini-3.1-flash-lite,A,214663680,100000000000,5,,,finished,13,0,,0,2.34201,-3.841717417962798e-06,2.342013841717418,True,11275,0.004425
gemini-3.1-flash-lite,B,536872960,50000000000,1,,,finished,14,2,,2,2.21708,-4.9689268766250905e-06,2.217084968926877,True,13936,0.005824
gemini-3.1-flash-lite,B,536872960,50000000000,2,,,finished,16,1,,4,2.21708,-4.9689268766250905e-06,2.217084968926877,True,14304,0.006253
gemini-3.1-flash-lite,B,536872960,50000000000,3,,,finished,49,2,,38,2.21708,-4.9689268766250905e-06,2.217084968926877,True,55754,0.027489
gemini-3.1-flash-lite,B,536872960,50000000000,4,,,finished,49,2,,31,2.21708,-4.9689268766250905e-06,2.217084968926877,True,55309,0.027578
gemini-3.1-flash-lite,B,536872960,50000000000,5,,,finished,17,2,,4,2.21708,-4.9689268766250905e-06,2.217084968926877,True,15783,0.007519
gemini-3.1-flash-lite,C,1073741824,56900000000,1,,,finished,43,5,48,2,2.12063,-3.851696538603733e-06,2.1206338516965384,True,47854,0.024472
gemini-3.1-flash-lite,C,1073741824,56900000000,2,,,finished,48,3,51,15,2.12063,-3.851696538603733e-06,2.1206338516965384,True,68767,0.027738
gemini-3.1-flash-lite,C,1073741824,56900000000,3,,,finished,32,6,38,11,2.12063,-3.851696538603733e-06,2.1206338516965384,True,37730,0.022754
gemini-3.1-flash-lite,C,1073741824,56900000000,4,,,finished,26,5,31,7,2.12063,-3.851696538603733e-06,2.1206338516965384,True,27812,0.018042
gemini-3.1-flash-lite,C,1073741824,56900000000,5,,,finished,43,4,47,3,2.12063,-3.851696538603733e-06,2.1206338516965384,True,44056,0.025029
nemotron-3-nano:4b,A,214663680,100000000000,1,,,stalled,22,0,,1,2.34364,0.0016261582825820575,2.342013841717418,,42231,0
nemotron-3-nano:4b,A,214663680,100000000000,10,,,finished,15,1,,0,2.35178,0.009766158282582094,2.342013841717418,True,33798,0
nemotron-3-nano:4b,A,214663680,100000000000,11,,,finished,11,0,,0,2.34378,0.0017661582825820865,2.342013841717418,True,22920,0
nemotron-3-nano:4b,A,214663680,100000000000,12,,,stalled,21,0,,0,2.34364,0.0016261582825820575,2.342013841717418,,38082,0
nemotron-3-nano:4b,A,214663680,100000000000,13,,,finished,11,0,,0,2.35577,0.013756158282582032,2.342013841717418,True,18497,0
nemotron-3-nano:4b,A,214663680,100000000000,14,,,finished,14,2,,0,2.34943,0.007416158282581797,2.342013841717418,True,29695,0
nemotron-3-nano:4b,A,214663680,100000000000,15,,,finished,12,0,,0,2.34227,0.00025615828258196416,2.342013841717418,True,39100,0
nemotron-3-nano:4b,A,214663680,100000000000,16,,,stalled,1,0,,0,2.41499,0.07297615828258186,2.342013841717418,,2328,0
nemotron-3-nano:4b,A,214663680,100000000000,17,,,stalled,16,1,,0,2.35835,0.01633615828258206,2.342013841717418,,40727,0
nemotron-3-nano:4b,A,214663680,100000000000,18,,,stalled,23,0,,0,2.34364,0.0016261582825820575,2.342013841717418,,47047,0
nemotron-3-nano:4b,A,214663680,100000000000,19,,,stalled,32,0,,1,2.34201,-3.841717417962798e-06,2.342013841717418,,145719,0
nemotron-3-nano:4b,A,214663680,100000000000,2,,,finished,12,0,,0,2.35577,0.013756158282582032,2.342013841717418,True,26060,0
nemotron-3-nano:4b,A,214663680,100000000000,20,,,stalled,11,1,,0,2.34201,-3.841717417962798e-06,2.342013841717418,,29509,0
nemotron-3-nano:4b,A,214663680,100000000000,3,,,finished,11,0,,0,2.34201,-3.841717417962798e-06,2.342013841717418,True,18683,0
nemotron-3-nano:4b,A,214663680,100000000000,4,,,finished,9,0,,0,2.35835,0.01633615828258206,2.342013841717418,True,18626,0
nemotron-3-nano:4b,A,214663680,100000000000,5,,,finished,9,1,,0,2.35908,0.017066158282581956,2.342013841717418,True,19335,0
nemotron-3-nano:4b,A,214663680,100000000000,6,,,stalled,24,3,,0,2.34227,0.00025615828258196416,2.342013841717418,,134093,0
nemotron-3-nano:4b,A,214663680,100000000000,7,,,finished,15,1,,0,2.35561,0.013596158282581872,2.342013841717418,True,29881,0
nemotron-3-nano:4b,A,214663680,100000000000,8,,,finished,19,1,,0,2.34667,0.004656158282581924,2.342013841717418,True,38090,0
nemotron-3-nano:4b,A,214663680,100000000000,9,,,stalled,8,0,,0,2.35577,0.013756158282582032,2.342013841717418,,16467,0
