model,env,N,D,seed,think,reasoning_effort,reflect,actuate,outcome,finish_kind,actuate_retries,reflections,experiments,invalid_requests,total_calls,repeats,best_loss,final_regret,optimum_loss,claim_matches_best,elapsed_ms,cost_usd
nemotron-3-nano:4b,A,214663680,100000000000,1,low,low,off,False,stalled,,0,0,24,0,24,0,2.34364,0.0016261582825820575,2.342013841717418,,53263,0
nemotron-3-nano:4b,A,214663680,100000000000,1,low,low,off,True,finished,clean,0,0,14,0,14,1,2.34364,0.0016261582825820575,2.342013841717418,True,21852,0
nemotron-3-nano:4b,A,214663680,100000000000,1,low,low,self,False,stalled,,0,20,20,4,24,0,2.34216,0.00014615828258168762,2.342013841717418,,79678,0
nemotron-3-nano:4b,A,214663680,100000000000,1,low,low,self,True,finished,nudged,1,10,10,2,12,0,2.34691,0.00489615828258172,2.342013841717418,True,27579,0
nemotron-3-nano:4b,A,214663680,100000000000,1,low,low,fresh,False,stalled,,0,11,17,1,18,0,2.34667,0.004656158282581924,2.342013841717418,,109627,0
nemotron-3-nano:4b,A,214663680,100000000000,1,low,low,fresh,True,finished,nudged,1,8,10,1,11,0,2.34546,0.0034461582825819903,2.342013841717418,True,75093,0
nemotron-3-nano:4b,A,214663680,100000000000,10,low,low,off,False,finished,clean,0,0,9,2,11,0,2.34364,0.0016261582825820575,2.342013841717418,True,19141,0
nemotron-3-nano:4b,A,214663680,100000000000,10,low,low,off,True,finished,nudged,1,0,18,1,19,0,2.34201,-3.841717417962798e-06,2.342013841717418,True,39268,0
nemotron-3-nano:4b,A,214663680,100000000000,10,low,low,self,False,stalled,,0,14,14,2,16,0,2.34546,0.0034461582825819903,2.342013841717418,,28709,0
nemotron-3-nano:4b,A,214663680,100000000000,10,low,low,self,True,finished,forced,3,18,18,3,21,0,2.34216,0.00014615828258168762,2.342013841717418,True,69228,0
nemotron-3-nano:4b,A,214663680,100000000000,10,low,low,fresh,False,stalled,,0,7,13,2,15,0,2.35292,0.010906158282582012,2.342013841717418,,111179,0
nemotron-3-nano:4b,A,214663680,100000000000,10,low,low,fresh,True,finished,nudged,1,8,12,3,15,0,2.34216,0.00014615828258168762,2.342013841717418,True,75703,0
nemotron-3-nano:4b,A,214663680,100000000000,11,low,low,off,False,stalled,,0,0,23,0,23,1,2.34667,0.004656158282581924,2.342013841717418,,42630,0
nemotron-3-nano:4b,A,214663680,100000000000,11,low,low,off,True,finished,nudged,2,0,19,3,22,0,2.34364,0.0016261582825820575,2.342013841717418,True,64358,0
nemotron-3-nano:4b,A,214663680,100000000000,11,low,low,self,False,finished,clean,0,10,10,2,12,0,2.34227,0.00025615828258196416,2.342013841717418,True,19873,0
nemotron-3-nano:4b,A,214663680,100000000000,11,low,low,self,True,finished,clean,0,12,12,0,12,0,2.35835,0.01633615828258206,2.342013841717418,True,24178,0
nemotron-3-nano:4b,A,214663680,100000000000,11,low,low,fresh,False,stalled,,0,11,13,3,16,0,2.34999,0.007976158282581913,2.342013841717418,,87094,0
nemotron-3-nano:4b,A,214663680,100000000000,11,low,low,fresh,True,finished,nudged,3,9,11,2,13,0,2.34227,0.00025615828258196416,2.342013841717418,True,93352,0
nemotron-3-nano:4b,A,214663680,100000000000,12,low,low,off,False,stalled,,0,0,18,1,19,0,2.34364,0.0016261582825820575,2.342013841717418,,33781,0
nemotron-3-nano:4b,A,214663680,100000000000,12,low,low,off,True,finished,nudged,1,0,22,0,22,0,2.35178,0.009766158282582094,2.342013841717418,True,47745,0
nemotron-3-nano:4b,A,214663680,100000000000,12,low,low,self,False,stalled,,0,15,15,0,15,0,2.34364,0.0016261582825820575,2.342013841717418,,32010,0
nemotron-3-nano:4b,A,214663680,100000000000,12,low,low,self,True,finished,clean,0,12,12,3,15,0,2.34667,0.004656158282581924,2.342013841717418,True,29276,0
nemotron-3-nano:4b,A,214663680,100000000000,12,low,low,fresh,False,stalled,,0,9,13,7,20,0,2.34943,0.007416158282581797,2.342013841717418,,121986,0
nemotron-3-nano:4b,A,214663680,100000000000,12,low,low,fresh,True,finished,forced,3,13,15,2,17,0,2.34216,0.00014615828258168762,2.342013841717418,True,121740,0
nemotron-3-nano:4b,A,214663680,100000000000,13,low,low,off,False,stalled,,0,0,15,0,15,0,2.34364,0.0016261582825820575,2.342013841717418,,67438,0
nemotron-3-nano:4b,A,214663680,100000000000,13,low,low,off,True,finished,clean,0,0,19,0,19,0,2.34364,0.0016261582825820575,2.342013841717418,True,36414,0
nemotron-3-nano:4b,A,214663680,100000000000,13,low,low,self,False,finished,clean,0,11,11,0,11,0,2.34227,0.00025615828258196416,2.342013841717418,True,20111,0
nemotron-3-nano:4b,A,214663680,100000000000,13,low,low,self,True,finished,nudged,1,14,14,1,15,0,2.34216,0.00014615828258168762,2.342013841717418,True,34309,0
nemotron-3-nano:4b,A,214663680,100000000000,13,low,low,fresh,False,stalled,,0,12,15,3,18,1,2.34605,0.004036158282581859,2.342013841717418,,120975,0
nemotron-3-nano:4b,A,214663680,100000000000,13,low,low,fresh,True,finished,clean,0,7,9,0,9,0,2.34201,-3.841717417962798e-06,2.342013841717418,True,74637,0
nemotron-3-nano:4b,A,214663680,100000000000,14,low,low,off,False,stalled,,0,0,17,0,17,0,2.34364,0.0016261582825820575,2.342013841717418,,29960,0
nemotron-3-nano:4b,A,214663680,100000000000,14,low,low,off,True,finished,clean,0,0,10,0,10,0,2.34364,0.0016261582825820575,2.342013841717418,True,16668,0
nemotron-3-nano:4b,A,214663680,100000000000,14,low,low,self,False,stalled,,0,9,9,0,9,0,2.34364,0.0016261582825820575,2.342013841717418,,16183,0
