model,env,N,D,seed,think,reasoning_effort,outcome,experiments,invalid_requests,total_calls,repeats,best_loss,final_regret,optimum_loss,claim_matches_best,elapsed_ms,cost_usd
gemini-3.1-flash-lite,A,214663680,100000000000,1,low,low,finished,11,0,11,0,2.34201,-3.841717417962798e-06,2.342013841717418,True,15625,0.007072
gemini-3.1-flash-lite,A,214663680,100000000000,1,medium,medium,finished,11,0,11,0,2.34227,0.00025615828258196416,2.342013841717418,True,16069,0.009458
gemini-3.1-flash-lite,A,214663680,100000000000,1,off,off,finished,13,0,13,0,2.34201,-3.841717417962798e-06,2.342013841717418,True,13209,0.004425
gemini-3.1-flash-lite,A,214663680,100000000000,10,low,low,finished,12,0,12,0,2.34201,-3.841717417962798e-06,2.342013841717418,True,16290,0.007803
gemini-3.1-flash-lite,A,214663680,100000000000,10,medium,medium,finished,12,0,12,0,2.34201,-3.841717417962798e-06,2.342013841717418,True,16483,0.010043
gemini-3.1-flash-lite,A,214663680,100000000000,10,off,off,finished,49,1,50,42,2.34364,0.0016261582825820575,2.342013841717418,True,49285,0.027327
gemini-3.1-flash-lite,A,214663680,100000000000,11,low,low,finished,17,0,17,0,2.34201,-3.841717417962798e-06,2.342013841717418,True,18403,0.008953
gemini-3.1-flash-lite,A,214663680,100000000000,11,medium,medium,finished,13,0,13,0,2.34201,-3.841717417962798e-06,2.342013841717418,True,17241,0.01076
gemini-3.1-flash-lite,A,214663680,100000000000,11,off,off,finished,13,0,13,0,2.34201,-3.841717417962798e-06,2.342013841717418,True,13693,0.004419
gemini-3.1-flash-lite,A,214663680,100000000000,12,low,low,finished,19,0,19,0,2.34201,-3.841717417962798e-06,2.342013841717418,True,22081,0.011423
gemini-3.1-flash-lite,A,214663680,100000000000,12,medium,medium,finished,15,0,15,0,2.34201,-3.841717417962798e-06,2.342013841717418,True,21784,0.012352
gemini-3.1-flash-lite,A,214663680,100000000000,12,off,off,finished,49,1,50,40,2.34364,0.0016261582825820575,2.342013841717418,True,52738,0.027315
gemini-3.1-flash-lite,A,214663680,100000000000,13,low,low,finished,10,0,10,0,2.34201,-3.841717417962798e-06,2.342013841717418,True,15327,0.006858
gemini-3.1-flash-lite,A,214663680,100000000000,13,medium,medium,finished,11,0,11,0,2.34201,-3.841717417962798e-06,2.342013841717418,True,16135,0.007974
gemini-3.1-flash-lite,A,214663680,100000000000,13,off,off,finished,47,2,49,38,2.34364,0.0016261582825820575,2.342013841717418,True,51553,0.026747
gemini-3.1-flash-lite,A,214663680,100000000000,14,low,low,finished,11,0,11,0,2.34201,-3.841717417962798e-06,2.342013841717418,True,14545,0.006897
gemini-3.1-flash-lite,A,214663680,100000000000,14,medium,medium,finished,13,0,13,3,2.34227,0.00025615828258196416,2.342013841717418,True,18649,0.011094
gemini-3.1-flash-lite,A,214663680,100000000000,14,off,off,finished,12,1,13,2,2.34227,0.00025615828258196416,2.342013841717418,True,14324,0.004479
gemini-3.1-flash-lite,A,214663680,100000000000,15,low,low,finished,13,1,14,0,2.34201,-3.841717417962798e-06,2.342013841717418,True,16674,0.00825
gemini-3.1-flash-lite,A,214663680,100000000000,15,medium,medium,finished,10,0,10,0,2.34201,-3.841717417962798e-06,2.342013841717418,True,14173,0.007501
gemini-3.1-flash-lite,A,214663680,100000000000,15,off,off,finished,48,1,49,37,2.34227,0.00025615828258196416,2.342013841717418,True,49805,0.027919
gemini-3.1-flash-lite,A,214663680,100000000000,2,low,low,finished,14,0,14,0,2.34201,-3.841717417962798e-06,2.342013841717418,True,20020,0.009465
gemini-3.1-flash-lite,A,214663680,100000000000,2,medium,medium,finished,50,1,51,34,2.34201,-3.841717417962798e-06,2.342013841717418,True,51112,0.028186
gemini-3.1-flash-lite,A,214663680,100000000000,2,off,off,finished,49,1,50,40,2.34364,0.0016261582825820575,2.342013841717418,True,50443,0.027315
gemini-3.1-flash-lite,A,214663680,100000000000,3,low,low,finished,15,0,15,0,2.34201,-3.841717417962798e-06,2.342013841717418,True,20435,0.010269
gemini-3.1-flash-lite,A,214663680,100000000000,3,medium,medium,finished,12,0,12,0,2.34201,-3.841717417962798e-06,2.342013841717418,True,16612,0.009631
gemini-3.1-flash-lite,A,214663680,100000000000,3,off,off,finished,49,1,50,40,2.34364,0.0016261582825820575,2.342013841717418,True,48641,0.027289
gemini-3.1-flash-lite,A,214663680,100000000000,4,low,low,finished,12,0,12,0,2.34216,0.00014615828258168762,2.342013841717418,True,17971,0.007882
gemini-3.1-flash-lite,A,214663680,100000000000,4,medium,medium,finished,9,0,9,0,2.34364,0.0016261582825820575,2.342013841717418,True,12954,0.006906
gemini-3.1-flash-lite,A,214663680,100000000000,4,off,off,finished,13,0,13,0,2.34201,-3.841717417962798e-06,2.342013841717418,True,13760,0.004425
gemini-3.1-flash-lite,A,214663680,100000000000,5,low,low,finished,8,0,8,0,2.34364,0.0016261582825820575,2.342013841717418,True,11972,0.005004
gemini-3.1-flash-lite,A,214663680,100000000000,5,medium,medium,finished,11,0,11,0,2.34201,-3.841717417962798e-06,2.342013841717418,True,14962,0.008162
gemini-3.1-flash-lite,A,214663680,100000000000,5,off,off,finished,13,0,13,0,2.34201,-3.841717417962798e-06,2.342013841717418,True,13011,0.004425
gemini-3.1-flash-lite,A,214663680,100000000000,6,low,low,finished,7,0,7,0,2.34201,-3.841717417962798e-06,2.342013841717418,True,10208,0.003985
gemini-3.1-flash-lite,A,214663680,100000000000,6,medium,medium,finished,11,0,11,0,2.34201,-3.841717417962798e-06,2.342013841717418,True,14658,0.007091
gemini-3.1-flash-lite,A,214663680,100000000000,6,off,off,finished,49,1,50,41,2.34364,0.0016261582825820575,2.342013841717418,True,49487,0.027315
gemini-3.1-flash-lite,A,214663680,100000000000,7,low,low,finished,8,1,9,0,2.34364,0.0016261582825820575,2.342013841717418,True,14046,0.00636
gemini-3.1-flash-lite,A,214663680,100000000000,7,medium,medium,finished,10,0,10,0,2.34227,0.00025615828258196416,2.342013841717418,True,14009,0.007218
gemini-3.1-flash-lite,A,214663680,100000000000,7,off,off,finished,47,2,49,36,2.34227,0.00025615828258196416,2.342013841717418,True,48294,0.026757
gemini-3.1-flash-lite,A,214663680,100000000000,8,low,low,finished,18,0,18,0,2.34201,-3.841717417962798e-06,2.342013841717418,True,23255,0.014772
gemini-3.1-flash-lite,A,214663680,100000000000,8,medium,medium,finished,12,0,12,0,2.34201,-3.841717417962798e-06,2.342013841717418,True,17028,0.009204
gemini-3.1-flash-lite,A,214663680,100000000000,8,off,off,stalled,6,0,6,0,2.34364,0.0016261582825820575,2.342013841717418,,361050,0.001462
gemini-3.1-flash-lite,A,214663680,100000000000,9,low,low,finished,14,0,14,0,2.34201,-3.841717417962798e-06,2.342013841717418,True,19427,0.009611
gemini-3.1-flash-lite,A,214663680,100000000000,9,medium,medium,finished,12,0,12,0,2.34201,-3.841717417962798e-06,2.342013841717418,True,15782,0.008988
