category,in_subset,n_positive_dev,n_spans_dev,n_positive_holdout,n_spans_holdout,n_positive_selection,n_spans_selection,n_positive_confirmation,n_spans_confirmation,n_positive_ft_train,n_spans_ft_train,n_positive_excluded,n_spans_excluded,n_positive_all,n_spans_all
Document Name,False,40,41,102,102,60,62,40,42,264,270,4,4,510,521
Parties,False,40,216,102,543,60,322,40,216,263,1235,4,22,509,2554
Agreement Date,True,38,38,93,93,52,52,35,37,249,253,3,3,470,476
Effective Date,False,28,34,70,84,47,55,31,34,211,237,3,3,390,447
Expiration Date,True,33,35,78,83,49,55,34,46,216,245,3,3,413,467
Renewal Term,False,10,10,26,31,29,29,15,21,96,119,0,0,176,210
Notice Period To Terminate Renewal,False,7,7,16,18,16,16,9,10,63,71,0,0,111,122
Governing Law,True,32,34,83,90,51,55,33,34,235,247,3,4,437,464
Most Favored Nation,True,4,4,3,3,8,12,5,10,8,9,0,0,28,38
Non-Compete,False,6,15,23,59,19,33,10,16,61,136,0,0,119,259
Exclusivity,True,13,23,33,78,24,50,11,25,99,234,0,0,180,410
No-Solicit Of Customers,False,1,2,7,15,2,2,2,3,22,36,0,0,34,58
Competitive Restriction Exception,False,4,5,16,27,9,12,6,11,41,70,0,0,76,125
No-Solicit Of Employees,False,3,4,10,18,9,11,4,6,32,51,1,1,59,91
Non-Disparagement,False,4,7,7,12,6,9,2,2,18,34,1,1,38,65
Termination For Convenience,False,15,20,29,41,25,33,19,28,94,123,1,1,183,246
Rofr/Rofo/Rofn,False,8,20,17,68,5,19,6,14,48,243,1,3,85,367
Change Of Control,False,4,6,26,62,16,33,7,12,68,140,0,0,121,253
Anti-Assignment,True,24,36,72,137,46,84,33,46,197,347,2,4,374,654
Revenue/Profit Sharing,True,13,24,35,87,18,52,12,29,87,224,1,2,166,418
Price Restrictions,False,2,2,0,0,2,3,0,0,11,22,0,0,15,27
Minimum Commitment,True,12,32,32,88,19,51,9,33,92,218,1,2,165,424
Volume Restriction,True,4,6,17,35,10,14,6,9,45,107,0,0,82,171
Ip Ownership Assignment,False,9,19,23,61,13,36,9,23,67,169,3,10,124,318
Joint Ip Ownership,False,5,11,7,14,6,7,6,10,22,73,0,0,46,115
License Grant,True,16,61,50,135,27,71,23,92,137,404,2,14,255,777
Non-Transferable License,False,9,32,22,43,17,40,11,29,78,152,1,2,138,298
Affiliate License-Licensor,False,3,15,6,20,1,2,2,5,11,27,0,0,23,69
Affiliate License-Licensee,False,6,9,12,27,3,3,4,11,33,64,1,1,59,115
Unlimited/All-You-Can-Eat-License,False,1,2,3,6,5,10,2,2,6,12,0,0,17,32
Irrevocable Or Perpetual License,False,4,16,13,23,8,17,7,21,36,78,2,10,70,165
Source Code Escrow,True,1,7,1,5,5,18,4,27,2,9,0,0,13,66
Post-Termination Services,False,11,24,29,82,23,44,13,26,106,274,0,0,182,450
Audit Rights,False,12,29,38,105,26,74,21,78,116,356,1,1,214,643
Uncapped Liability,False,8,9,13,16,14,22,8,13,67,106,1,1,111,167
Cap On Liability,True,21,36,44,118,36,97,27,66,146,354,1,1,275,672
Liquidated Damages,False,5,8,14,23,6,16,5,16,31,58,0,0,61,121
Warranty Duration,False,4,8,10,19,14,34,8,30,39,85,0,0,75,176
Insurance,False,8,26,32,117,20,76,13,41,93,300,0,0,166,560
Covenant Not To Sue,False,10,15,24,44,10,16,2,3,53,90,1,5,100,173
Third Party Beneficiary,False,2,3,6,11,6,6,2,2,16,17,0,0,32,39
